,rates,start_at,base,end_at
2014-12-22,{'USD': 0.0686363433},2013-08-31,MXN,2018-09-01
2014-12-23,{'USD': 0.06825803130000001},2013-08-31,MXN,2018-09-01
2014-12-24,{'USD': 0.0678369781},2013-08-31,MXN,2018-09-01
2014-12-29,{'USD': 0.0680328646},2013-08-31,MXN,2018-09-01
2014-12-30,{'USD': 0.0678219451},2013-08-31,MXN,2018-09-01
2014-12-31,{'USD': 0.0679486677},2013-08-31,MXN,2018-09-01
2015-01-02,{'USD': 0.0674538051},2013-08-31,MXN,2018-09-01
2015-01-05,{'USD': 0.0673354055},2013-08-31,MXN,2018-09-01
2015-01-06,{'USD': 0.0670150354},2013-08-31,MXN,2018-09-01
2015-01-07,{'USD': 0.0676819048},2013-08-31,MXN,2018-09-01
2015-01-08,{'USD': 0.06798893040000001},2013-08-31,MXN,2018-09-01
2015-01-09,{'USD': 0.06820832610000001},2013-08-31,MXN,2018-09-01
2015-01-12,{'USD': 0.06824896650000001},2013-08-31,MXN,2018-09-01
2015-01-13,{'USD': 0.0684347483},2013-08-31,MXN,2018-09-01
2015-01-14,{'USD': 0.0683992541},2013-08-31,MXN,2018-09-01
2015-01-15,{'USD': 0.0691369689},2013-08-31,MXN,2018-09-01
2015-01-16,{'USD': 0.0682502194},2013-08-31,MXN,2018-09-01
2015-01-19,{'USD': 0.0684297423},2013-08-31,MXN,2018-09-01
2015-01-20,{'USD': 0.0683901529},2013-08-31,MXN,2018-09-01
2015-01-21,{'USD': 0.0684554564},2013-08-31,MXN,2018-09-01
2015-01-22,{'USD': 0.06808525600000001},2013-08-31,MXN,2018-09-01
2015-01-23,{'USD': 0.0679280077},2013-08-31,MXN,2018-09-01
2015-01-26,{'USD': 0.0682733118},2013-08-31,MXN,2018-09-01
2015-01-27,{'USD': 0.0684461288},2013-08-31,MXN,2018-09-01
2015-01-28,{'USD': 0.0683575272},2013-08-31,MXN,2018-09-01
2015-01-29,{'USD': 0.06746282540000001},2013-08-31,MXN,2018-09-01
2015-01-30,{'USD': 0.06713900540000001},2013-08-31,MXN,2018-09-01
2015-02-02,{'USD': 0.0670015758},2013-08-31,MXN,2018-09-01
