,rates,start_at,base,end_at
2016-11-04,{'MXN': 19.1368430542},2013-08-31,USD,2018-09-01
2016-11-07,{'MXN': 18.6574760441},2013-08-31,USD,2018-09-01
2016-11-08,{'MXN': 18.5622395361},2013-08-31,USD,2018-09-01
2016-11-09,{'MXN': 19.8259843948},2013-08-31,USD,2018-09-01
2016-11-10,{'MXN': 20.2266177145},2013-08-31,USD,2018-09-01
2016-11-11,{'MXN': 20.8237344094},2013-08-31,USD,2018-09-01
2016-11-14,{'MXN': 20.8800222696},2013-08-31,USD,2018-09-01
2016-11-15,{'MXN': 20.4670692058},2013-08-31,USD,2018-09-01
2016-11-16,{'MXN': 20.4700990469},2013-08-31,USD,2018-09-01
2016-11-17,{'MXN': 20.2952318746},2013-08-31,USD,2018-09-01
2016-11-18,{'MXN': 20.4128328159},2013-08-31,USD,2018-09-01
2016-11-21,{'MXN': 20.4835857398},2013-08-31,USD,2018-09-01
2016-11-22,{'MXN': 20.3301309221},2013-08-31,USD,2018-09-01
2016-11-23,{'MXN': 20.5942275042},2013-08-31,USD,2018-09-01
2016-11-24,{'MXN': 20.7480091013},2013-08-31,USD,2018-09-01
2016-11-25,{'MXN': 20.6502077039},2013-08-31,USD,2018-09-01
2016-11-28,{'MXN': 20.5487344163},2013-08-31,USD,2018-09-01
2016-11-29,{'MXN': 20.6841906203},2013-08-31,USD,2018-09-01
2016-11-30,{'MXN': 20.5712270804},2013-08-31,USD,2018-09-01
2016-12-01,{'MXN': 20.640067752},2013-08-31,USD,2018-09-01
2016-12-02,{'MXN': 20.7816199962},2013-08-31,USD,2018-09-01
2016-12-05,{'MXN': 20.6366099794},2013-08-31,USD,2018-09-01
2016-12-06,{'MXN': 20.3754425191},2013-08-31,USD,2018-09-01
2016-12-07,{'MXN': 20.3256290774},2013-08-31,USD,2018-09-01
2016-12-08,{'MXN': 20.3414792789},2013-08-31,USD,2018-09-01
2016-12-09,{'MXN': 20.4399090823},2013-08-31,USD,2018-09-01
2016-12-12,{'MXN': 20.2408456021},2013-08-31,USD,2018-09-01
2016-12-13,{'MXN': 20.2439208294},2013-08-31,USD,2018-09-01
2016-12-14,{'MXN': 20.2617437054},2013-08-31,USD,2018-09-01
2016-12-15,{'MXN': 20.654573375600002},2013-08-31,USD,2018-09-01
2016-12-16,{'MXN': 20.3590382221},2013-08-31,USD,2018-09-01
2016-12-19,{'MXN': 20.4261178277},2013-08-31,USD,2018-09-01
2016-12-20,{'MXN': 20.3734079506},2013-08-31,USD,2018-09-01
2016-12-21,{'MXN': 20.444103253},2013-08-31,USD,2018-09-01
2016-12-22,{'MXN': 20.690061279200002},2013-08-31,USD,2018-09-01
2016-12-23,{'MXN': 20.6921309592},2013-08-31,USD,2018-09-01
2016-12-27,{'MXN': 20.6169459071},2013-08-31,USD,2018-09-01
2016-12-28,{'MXN': 20.7383905394},2013-08-31,USD,2018-09-01
2016-12-29,{'MXN': 20.6953984502},2013-08-31,USD,2018-09-01
2016-12-30,{'MXN': 20.6544919837},2013-08-31,USD,2018-09-01
2017-01-02,{'MXN': 20.7418060201},2013-08-31,USD,2018-09-01
2017-01-03,{'MXN': 20.6966779008},2013-08-31,USD,2018-09-01
2017-01-04,{'MXN': 21.1467854748},2013-08-31,USD,2018-09-01
2017-01-05,{'MXN': 21.278544900500002},2013-08-31,USD,2018-09-01
2017-01-06,{'MXN': 21.2758522996},2013-08-31,USD,2018-09-01
2017-01-09,{'MXN': 21.2951692659},2013-08-31,USD,2018-09-01
2017-01-10,{'MXN': 21.4249077316},2013-08-31,USD,2018-09-01
2017-01-11,{'MXN': 21.8637532134},2013-08-31,USD,2018-09-01
2017-01-12,{'MXN': 21.603146362},2013-08-31,USD,2018-09-01
2017-01-13,{'MXN': 21.6546290217},2013-08-31,USD,2018-09-01
2017-01-16,{'MXN': 21.5952425901},2013-08-31,USD,2018-09-01
2017-01-17,{'MXN': 21.5789966305},2013-08-31,USD,2018-09-01
2017-01-18,{'MXN': 21.6930795199},2013-08-31,USD,2018-09-01
2017-01-19,{'MXN': 21.9760967379},2013-08-31,USD,2018-09-01
2017-01-20,{'MXN': 21.9808126411},2013-08-31,USD,2018-09-01
2017-01-23,{'MXN': 21.4125991601},2013-08-31,USD,2018-09-01
